Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording125	Messi	Messi_trials22-24	d01-constr	1	d01-constr	whole_screen	5429	141987	181	16	14	17	11	0	14	whole_screen		4,38659	3937	2	0	0				
Recording125	Messi	Messi_trials22-24	d12-constr	1	d12-constr	whole_screen	5595	114312	286	17	17	17	17	522	17	whole_screen		4,57333	286	3	522	0				
Recording125	Messi	Messi_trials22-24	grey_screen	1	grey_screen	whole_screen	4596	104936	151	17	16	17	9	1215	17	whole_screen		4,16554	1139	3	1215	0				
Recording125	Messi	Messi_trials22-24	grey_screen	2	grey_screen	whole_screen	4646	119907	33	17	17	17	2	1516	17	whole_screen		4,90229	1017	1	1516	0				
Recording125	Messi	Messi_trials22-24	grey_screen	3	grey_screen	whole_screen	4546	134194	17	17	17	17	1	2917	17	whole_screen		2,75815	17	1	2917	0				
Recording125	Messi	Messi_trials22-24	h10-dilating	1	h10-dilating	whole_screen	5595	128599	167	17	17	17	10	2884	17	whole_screen		4,05394	167	6	2884	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	181	16	14	17	11	141987	14	whole_screen		4,38659	3937	2	141987	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	202	17	16	17	12	106151	17	whole_screen		4,17105	2173	5	106151	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	167	17	17	17	10	131483	17	whole_screen		4,05394	167	6	131483	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	286	17	17	17	17	114833	17	whole_screen		4,57333	286	3	114833	0				
Recording312	jazz	Jazz_trials73-75	b05-dilating	1	b05-dilating	whole_screen	5595	292605	133	17	16	17	8	91	16	whole_screen		1,9367	133	4	91	0				
Recording312	jazz	Jazz_trials73-75	d09-constr	1	d09-constr	whole_screen	5429	313737	189	17	16	18	11	330	18	whole_screen		1,83998	633	3	330	0				
Recording312	jazz	Jazz_trials73-75	grey_screen	1	grey_screen	whole_screen	5129	242849	16	16	16	16	1	3805	16	whole_screen		2,16811	16	1	3805	0				
Recording312	jazz	Jazz_trials73-75	grey_screen	2	grey_screen	whole_screen	4593	274821	17	17	17	17	1	2614	17	whole_screen		1,89932	17	1	2614	0				
Recording312	jazz	Jazz_trials73-75	grey_screen	3	grey_screen	whole_screen	4546	298200	34	17	17	17	2	1803	17	whole_screen		2,16707	34	2	1803	0				
Recording312	jazz	Jazz_trials73-75	h00-constr	1	h00-constr	whole_screen	5628	269193	67	17	17	17	4	190	17	whole_screen		2,08487	67	4	190	0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	133	17	16	17	8	292696	16	whole_screen		1,9367	133	4	292696	0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	66	17	16	17	4	246654	16	whole_screen		2,10039	66	4	246654	0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	189	17	16	18	11	314067	18	whole_screen		1,83998	633	3	314067	0				
Recording312	jazz	Jazz_trials73-75	Entire Recording	1	2023-09-23 07.14.52 3197954336300737299_3057206773,A mole digging a hole cauught on camera (online-video-cutter.com),b05-dilating,d09-constr,grey_screen,h00-constr,Our pet pheasant (online-video-cutter.com)	whole_screen	319374	0	67	17	17	17	4	269382	17	whole_screen		2,08487	67	4	269382	0				
Recording352	jazz	Jazz_trials46-48	b07-dilating	1	b07-dilating	whole_screen	5612	202897	152	17	17	18	9	163	17	whole_screen		2,07726	152	7	163	0				
Recording352	jazz	Jazz_trials46-48	d10-constr	1	d10-constr	whole_screen	5628	174206	0				0						0	0		0				
Recording352	jazz	Jazz_trials46-48	grey_screen	1	grey_screen	whole_screen	5246	151825	928	17	16	17	55	634	17	whole_screen		2,0429	1839	7	634	0				
Recording352	jazz	Jazz_trials46-48	grey_screen	2	grey_screen	whole_screen	4579	179834	0				0						0	0		0				
Recording352	jazz	Jazz_trials46-48	grey_screen	3	grey_screen	whole_screen	4529	208509	957	17	16	17	57	68	17	whole_screen		2,10531	1227	10	68	0				
Recording352	jazz	Jazz_trials46-48	h02-constr	1	h02-constr	whole_screen	5395	228575	0				0						0	0		0				
Recording352	jazz	Jazz_trials46-48	Entire Recording	1	2023-08-19 17.27.58 3172889463443954951_3057206773,ASMR Dog Mukbang Pitbull Eating Raw Foods,b07-dilating,d10-constr,grey_screen,h02-constr,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	234182	0	0				0			whole_screen			0	0		0				
Recording352	jazz	Jazz_trials46-48	Entire Recording	1	2023-08-19 17.27.58 3172889463443954951_3057206773,ASMR Dog Mukbang Pitbull Eating Raw Foods,b07-dilating,d10-constr,grey_screen,h02-constr,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	234182	0	0				0			whole_screen			0	0		0				
Recording352	jazz	Jazz_trials46-48	Entire Recording	1	2023-08-19 17.27.58 3172889463443954951_3057206773,ASMR Dog Mukbang Pitbull Eating Raw Foods,b07-dilating,d10-constr,grey_screen,h02-constr,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	234182	0	1885	17	16	17	112	152459	17	whole_screen		2,07467	3066	17	152459	0				
Recording352	jazz	Jazz_trials46-48	Entire Recording	1	2023-08-19 17.27.58 3172889463443954951_3057206773,ASMR Dog Mukbang Pitbull Eating Raw Foods,b07-dilating,d10-constr,grey_screen,h02-constr,Mouse Sounds - Mice Squeaking Sounds (online-video-cutter.com)	whole_screen	234182	0	152	17	17	18	9	203061	17	whole_screen		2,07726	152	7	203061	0				
