Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording125	Messi	Messi_trials22-24	d01-constr	1	d01-constr	whole_screen	5429	141987	30	30	30	30	1	0	30	whole_screen		4,79178	30	30	30	30	1	0	30	30	0				
Recording125	Messi	Messi_trials22-24	d12-constr	1	d12-constr	whole_screen	5595	114312	218	218	218	218	1	522	218	whole_screen		4,73727	218	218	218	218	1	522	218	218	0				
Recording125	Messi	Messi_trials22-24	grey_screen	1	grey_screen	whole_screen	4596	104936	0				0						0				0			0	0				
Recording125	Messi	Messi_trials22-24	grey_screen	2	grey_screen	whole_screen	4646	119907	0				0						0				0			0	0				
Recording125	Messi	Messi_trials22-24	grey_screen	3	grey_screen	whole_screen	4546	134194	0				0						0				0			0	0				
Recording125	Messi	Messi_trials22-24	h10-dilating	1	h10-dilating	whole_screen	5595	128599	0				0						0				0			0	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	30	30	30	30	1	141987	30	whole_screen		4,79178	30	30	30	30	1	141987	30	30	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	0				0			whole_screen			0				0			0	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	0				0			whole_screen			0				0			0	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	218	218	218	218	1	114833	218	whole_screen		4,73727	218	218	218	218	1	114833	218	218	0				
Recording61	kaije	Kaije_trials16-18	b03-dilating	1	b03-dilating	whole_screen	5662	94825	1829	122	62	417	15	0	62	whole_screen	whole_screen	3,07481	5662	5662	5662	5662	1	0	5662	5662	2				
Recording61	kaije	Kaije_trials16-18	grey_screen	1	grey_screen	whole_screen	5096	72561	3216	179	58	653	18	7	133	whole_screen	whole_screen	3,30748	5089	5089	5089	5089	1	7	5089	5096	5				
Recording61	kaije	Kaije_trials16-18	grey_screen	2	grey_screen	whole_screen	4596	84834	1855	232	23	843	8	0	23	whole_screen		3,16961	4482	4482	4482	4482	1	0	4482	4482	0				
Recording61	kaije	Kaije_trials16-18	grey_screen	3	grey_screen	whole_screen	4513	100487	2796	215	67	697	13	0	416	whole_screen	whole_screen	2,96175	4513	4513	4513	4513	1	0	4513	4513	1				
Recording61	kaije	Kaije_trials16-18	h01-dilating	1	h01-dilating	whole_screen	5429	112077	3332	333	117	903	10	29	417	whole_screen	whole_screen	3,08084	5400	5400	5400	5400	1	29	5400	5416	0				
Recording61	kaije	Kaije_trials16-18	h06-dilating	1	h06-dilating	whole_screen	5612	79222	1658	138	67	402	12	80	133	whole_screen	whole_screen	3,16697	5532	5532	5532	5532	1	80	5532	5549	5				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	1658	138	67	402	12	79302	133	whole_screen		3,16697	5532	5532	5532	5532	1	79302	5532	5549	5				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	3332	333	117	903	10	112106	417	whole_screen		3,08084	5400	5400	5400	5400	1	112106	5400	5416	0				
Recording61	kaije	Kaije_trials16-18	Entire Recording	1	b03-dilating,d5d8b793-c98f-4412-9eb8-27017d7a6253,dog_fed,grey_screen,h01-dilating,h06-dilating,Our pet pheasant (online-video-cutter.com)	whole_screen	117721	0	7868	202	23	843	39	72568	133	whole_screen		3,1516	14084	4695	4482	5089	3	72568	5089	14100	6				
