Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording125	Messi	Messi_trials22-24	d01-constr	1	d01-constr	whole_screen	5429	141987	181	16	14	17	11	0	14	whole_screen		4,35229	3937	1969	819	3118	2	0	3118	3937	0				
Recording125	Messi	Messi_trials22-24	d12-constr	1	d12-constr	whole_screen	5595	114312	286	17	17	17	17	522	17	whole_screen		4,57283	286	95	17	234	3	522	234	286	0				
Recording125	Messi	Messi_trials22-24	grey_screen	1	grey_screen	whole_screen	4596	104936	151	17	16	17	9	1215	17	whole_screen		4,15207	1139	380	17	989	3	1215	989	1139	0				
Recording125	Messi	Messi_trials22-24	grey_screen	2	grey_screen	whole_screen	4646	119907	33	17	17	17	2	1516	17	whole_screen		4,90229	1017	1017	1017	1017	1	1516	1017	1017	0				
Recording125	Messi	Messi_trials22-24	grey_screen	3	grey_screen	whole_screen	4546	134194	17	17	17	17	1	2917	17	whole_screen		2,75815	17	17	17	17	1	2917	17	17	0				
Recording125	Messi	Messi_trials22-24	h10-dilating	1	h10-dilating	whole_screen	5595	128599	167	17	17	17	10	2884	17	whole_screen		4,08728	167	28	17	50	6	2884	17	167	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	181	16	14	17	11	141987	14	whole_screen		4,35229	3937	1969	819	3118	2	141987	3118	3937	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	202	17	16	17	12	106151	17	whole_screen		4,16095	2173	435	17	1017	5	106151	989	2173	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	167	17	17	17	10	131483	17	whole_screen		4,08728	167	28	17	50	6	131483	17	167	0				
Recording125	Messi	Messi_trials22-24	Entire Recording	1	Bunny_eating (online-video-cutter.com),d01-constr,d12-constr,dog_puppy_barking,grey_screen,h10-dilating,Kitten meowing to attract cats	whole_screen	147616	0	286	17	17	17	17	114833	17	whole_screen		4,57283	286	95	17	234	3	114833	234	286	0				
