Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Session2.	Nova	Nova 2nd session 	b01-dilating-converted	1	b01-dilating-converted	Rectangle	1291	645	208	1083	2	0	208	Rectangle		3.906	1324	1	0	1				
Session2.	Nova	Nova 2nd session 	b07-constr-converted	1	b07-constr-converted	Rectangle	152	152	152	152	1	469	152	Rectangle		5.69532	152	1	469	0				
Session2.	Nova	Nova 2nd session 	b13-constr (1)-converted	1	b13-constr (1)-converted	Rectangle	3548	887	160	2133	4	0	172	Rectangle	Rectangle	4.07561	3681	3	0	1	1505	1288	92.84	75.99
Session2.	Nova	Nova 2nd session 	d07-constr-converted	1	d07-constr-converted	Rectangle	3814	1271	129	2717	3	0	129	Rectangle	Rectangle	3.99316	3914	2	0	1	3129	2896	187.85	118.05
Session2.	Nova	Nova 2nd session 	d13-constr-converted	1	d13-constr-converted	Rectangle	39	39	39	39	1	0	39	Rectangle		4.1829	39	1	0	0		39		143.51
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	1886	471	118	891	4	0	891	Rectangle		3.93393	2458	3	0	0	2091	3041	168.62	115.56
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	2832	944	550	1567	3	0	715	Rectangle		4.2972	2965	2	0	0	1032	715	101.94	92.16
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	1167	1167	1167	1167	1	291	1167	Rectangle		4.18404	1233	1	224	0	224	1458	191.84	111.64
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	1199	1199	1199	1199	1	0	1199	Rectangle	Rectangle	3.85755	1199	1	0	0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	1149	1149	1149	1149	1	0	1149	Rectangle	Rectangle	4.0464	1149	1	0	0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	1041	1041	1041	1041	1	0	1041	Rectangle		4.38707	1041	1	0	0		1041		142.18
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	5	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	Grey screen 4 seconds - Trim	6	Grey screen 4 seconds - Trim	Rectangle	0				0						0	0		0				
Session2.	Nova	Nova 2nd session 	h14-constr	1	h14-constr	Rectangle	3552	888	192	1601	4	0	192	Rectangle	Rectangle	3.99132	3635	3	0	1	3658		144.82	
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	5885	736	118	1567	8	148223	891	Rectangle		4.15911	6657	6	148223	0	150315	151265	168.62	115.56
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3389	1130	1041	1199	3	147024	1199	Rectangle		4.08347	3389	3	147024	0		179932		142.18
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3814	1271	129	2717	3	156769	129	Rectangle		3.99316	3914	2	156769	1	159898	159665	187.85	118.05
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3548	887	160	2133	4	174743	172	Rectangle		4.07561	3681	3	174743	1	176248	176032	92.84	75.99
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	39	39	39	39	1	269277	39	Rectangle		4.1829	39	1	269277	0		269316		143.51
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	152	152	152	152	1	321337	152	Rectangle		5.69532	152	1	321337	0				
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	1291	645	208	1083	2	226483	208	Rectangle		3.906	1324	1	226483	1				
Session2.	Nova	Nova 2nd session 	Entire Recording	1	b01-dilating-converted,b07-constr-converted,b13-constr (1)-converted,d07-constr-converted,d13-constr-converted,Grey screen 4 seconds,Grey screen 4 seconds - Trim,h14-constr,Screen Recording 2023-07-28 at 14.24.39 - Copy,Screen Recording 2023-07-29 at 14.16.03 - Copy,Screen Recording 2023-07-29 at 14.19.49 - Copy	Rectangle	3552	888	192	1601	4	142890	192	Rectangle		3.99132	3635	3	142890	1	146548		144.82	
Session13.1	Nova	Nova 13th session    -	b03-dilating-converted	1	b03-dilating-converted	Rectangle	2845	406	70	1058	7	0	234	Rectangle	Rectangle	3.02171	3146	3	0	2	1987		551.65	
Session13.1	Nova	Nova 13th session    -	d06-dilating-converted	1	d06-dilating-converted	Rectangle	3166	1055	67	1983	3	0	1116	Rectangle		2.93375	3216	2	0	0		1116		268.43
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	1	Grey screen 4 seconds	Rectangle	791	198	67	558	4	0	558	Rectangle		2.81097	1141	1	0	0		1141		171.49
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	2	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	3	Grey screen 4 seconds	Rectangle	3149	394	60	1671	8	0	226	Rectangle	Rectangle	2.83182	4416	1	0	3				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	4	Grey screen 4 seconds	Rectangle	2573	429	67	1092	6	1042	84	Rectangle	Rectangle	3.17007	3389	1	1042	2				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	5	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds	6	Grey screen 4 seconds	Rectangle	0				0						0	0		0				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds - Trim	1	Grey screen 4 seconds - Trim	Rectangle	1342	268	100	350	5	0	225	Rectangle		2.58181	1642	1	0	2				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds - Trim	2	Grey screen 4 seconds - Trim	Rectangle	1443	289	70	723	5	5	70	Rectangle	Rectangle	2.7241	1881	1	0	2				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds - Trim	3	Grey screen 4 seconds - Trim	Rectangle	1400	1400	1400	1400	1	0	1400	Rectangle		2.85021	1400	1	0	0				
Session13.1	Nova	Nova 13th session    -	Grey screen 4 seconds - Trim	4	Grey screen 4 seconds - Trim	Rectangle	1176	392	100	756	3	0	320	Rectangle		2.9998	1276	1	0	2				
